image,number of detections
Screen Shot 2024-09-06 at 11.57.04 AM.png,8
Screen Shot 2024-09-06 at 12.17.48 PM.png,1
Screen Shot 2024-09-06 at 12.14.04 PM.png,2
Screen Shot 2024-09-06 at 12.14.16 PM.png,1
Screen Shot 2024-09-06 at 12.13.47 PM.png,1
Screen Shot 2024-09-06 at 12.15.34 PM.png,4
Screen Shot 2024-09-06 at 12.20.45 PM.png,0
Screen Shot 2024-09-06 at 12.20.28 PM.png,0
Screen Shot 2024-09-06 at 12.17.29 PM.png,1
Screen Shot 2024-09-06 at 12.14.30 PM.png,1
Screen Shot 2024-09-06 at 12.17.13 PM.png,1
Screen Shot 2024-09-06 at 12.15.04 PM.png,4
Screen Shot 2024-09-06 at 12.13.06 PM.png,1
Screen Shot 2024-09-06 at 12.21.12 PM.png,5
Screen Shot 2024-09-06 at 12.20.06 PM.png,1
Screen Shot 2024-09-06 at 11.56.53 AM.png,9
Screen Shot 2024-09-06 at 12.15.44 PM.png,3
Screen Shot 2024-09-06 at 12.13.37 PM.png,1
Screen Shot 2024-09-06 at 12.14.50 PM.png,3
Screen Shot 2024-09-06 at 12.17.57 PM.png,0
Screen Shot 2024-09-06 at 12.16.53 PM.png,6
Screen Shot 2024-09-06 at 12.20.37 PM.png,0
Screen Shot 2024-09-06 at 12.14.39 PM.png,2
Screen Shot 2024-09-06 at 12.12.29 PM.png,6
Screen Shot 2024-09-06 at 11.56.42 AM.png,7
Screen Shot 2024-09-06 at 12.12.13 PM.png,4
Screen Shot 2024-09-06 at 12.19.48 PM.png,1
Screen Shot 2024-09-06 at 12.20.21 PM.png,0
Screen Shot 2024-09-06 at 11.56.31 AM.png,5
Screen Shot 2024-09-06 at 12.15.19 PM.png,0
Screen Shot 2024-09-06 at 12.13.17 PM.png,2
Screen Shot 2024-09-06 at 12.18.07 PM.png,2
Image,Num_detections
Screen Shot 2024-09-06 at 11.57.04 AM.png,8
Screen Shot 2024-09-06 at 12.17.48 PM.png,1
Screen Shot 2024-09-06 at 12.14.04 PM.png,2
Screen Shot 2024-09-06 at 12.14.16 PM.png,1
Screen Shot 2024-09-06 at 12.13.47 PM.png,1
Screen Shot 2024-09-06 at 12.15.34 PM.png,4
Screen Shot 2024-09-06 at 12.20.45 PM.png,0
Screen Shot 2024-09-06 at 12.20.28 PM.png,0
Screen Shot 2024-09-06 at 12.17.29 PM.png,1
Screen Shot 2024-09-06 at 12.14.30 PM.png,1
Screen Shot 2024-09-06 at 12.17.13 PM.png,1
Screen Shot 2024-09-06 at 12.15.04 PM.png,4
Screen Shot 2024-09-06 at 12.13.06 PM.png,1
Screen Shot 2024-09-06 at 12.21.12 PM.png,5
Screen Shot 2024-09-06 at 12.20.06 PM.png,1
Screen Shot 2024-09-06 at 11.56.53 AM.png,9
Screen Shot 2024-09-06 at 12.15.44 PM.png,3
Screen Shot 2024-09-06 at 12.13.37 PM.png,1
Screen Shot 2024-09-06 at 12.14.50 PM.png,3
Screen Shot 2024-09-06 at 12.17.57 PM.png,0
Screen Shot 2024-09-06 at 12.16.53 PM.png,6
Screen Shot 2024-09-06 at 12.20.37 PM.png,0
Screen Shot 2024-09-06 at 12.14.39 PM.png,2
Screen Shot 2024-09-06 at 12.12.29 PM.png,6
Screen Shot 2024-09-06 at 11.56.42 AM.png,7
Screen Shot 2024-09-06 at 12.12.13 PM.png,4
Screen Shot 2024-09-06 at 12.19.48 PM.png,1
Screen Shot 2024-09-06 at 12.20.21 PM.png,0
Screen Shot 2024-09-06 at 11.56.31 AM.png,5
Screen Shot 2024-09-06 at 12.15.19 PM.png,0
Screen Shot 2024-09-06 at 12.13.17 PM.png,2
Screen Shot 2024-09-06 at 12.18.07 PM.png,2
